NMARK= 1
MARKER_TAG= inlet
NROW=18
NCOL=6
# COORD-X	COORD-Y	TEMPERATURE	VELOCITY	NORMAL-X	NORMAL-Y
0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.987670160936445e-02	0.000000000000000e+00	8.107195974385077e-02	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	5.737175564860630e-02	0.000000000000000e+00	1.444204745013101e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	8.289444475859881e-02	0.000000000000000e+00	1.935650211482864e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.068161218451601e-01	0.000000000000000e+00	2.311832914013722e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.294769997346998e-01	0.000000000000000e+00	2.592833534628968e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.511920632985760e-01	0.000000000000000e+00	2.793316308002538e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.722570336277169e-01	0.000000000000000e+00	2.923466852098290e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.929541924892107e-01	0.000000000000000e+00	2.989641774282904e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.135581501454238e-01	0.000000000000000e+00	2.994771545467344e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.343415344310655e-01	0.000000000000000e+00	2.938541893437044e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.555807624645894e-01	0.000000000000000e+00	2.817364887697856e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.775617330256849e-01	0.000000000000000e+00	2.624137649040516e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.005856208886416e-01	0.000000000000000e+00	2.347773164497290e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.249747221227474e-01	0.000000000000000e+00	1.972473483752733e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.510784015089931e-01	0.000000000000000e+00	1.476699627310700e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.792793424203685e-01	0.000000000000000e+00	8.317699563729170e-02	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	4.100000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00
