NMARK= 1
MARKER_TAG= inlet
NROW=18
NCOL=6
# COORD-X	COORD-Y	TEMPERATURE	VELOCITY	NORMAL-X	NORMAL-Y
0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.987670160936445e-02	0.000000000000000e+00	4.053597987192538e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	5.737175564860630e-02	0.000000000000000e+00	7.221023725065506e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	8.289444475859881e-02	0.000000000000000e+00	9.678251057414321e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.068161218451601e-01	0.000000000000000e+00	1.155916457006861e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.294769997346998e-01	0.000000000000000e+00	1.296416767314484e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.511920632985760e-01	0.000000000000000e+00	1.396658154001269e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.722570336277169e-01	0.000000000000000e+00	1.461733426049145e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	1.929541924892107e-01	0.000000000000000e+00	1.494820887141452e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.135581501454238e-01	0.000000000000000e+00	1.497385772733672e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.343415344310655e-01	0.000000000000000e+00	1.469270946718522e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.555807624645894e-01	0.000000000000000e+00	1.408682443848927e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	2.775617330256849e-01	0.000000000000000e+00	1.312068824520258e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.005856208886416e-01	0.000000000000000e+00	1.173886582248645e+00	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.249747221227474e-01	0.000000000000000e+00	9.862367418763666e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.510784015089931e-01	0.000000000000000e+00	7.383498136553501e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	3.792793424203685e-01	0.000000000000000e+00	4.158849781864584e-01	1.000000000000000e+00	0.000000000000000e+00
0.000000000000000e+00	4.100000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00
